,node,reason,meaning,target
0,0,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
1,1,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
2,2,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
3,3,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
4,4,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
5,5,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
6,6,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
7,7,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
8,8,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
9,9,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
10,10,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
11,11,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
12,12,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
13,13,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
14,14,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
15,15,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
16,16,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
17,17,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
18,18,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
