,node,community,local_role
0,0,c0,Local Ultra-Peripheral
1,1,c0,Local Ultra-Peripheral
2,2,c0,Local Ultra-Peripheral
3,3,c0,Local Ultra-Peripheral
4,4,c0,Local Ultra-Peripheral
5,5,c0,Local Ultra-Peripheral
6,6,c0,Local Ultra-Peripheral
7,7,c0,Local Peripheral
8,8,c0,Local Ultra-Peripheral
9,9,c0,Local Ultra-Peripheral
10,10,c0,Local Ultra-Peripheral
11,11,c0,Local Ultra-Peripheral
12,12,c0,Local Ultra-Peripheral
13,13,c0,Local Ultra-Peripheral
14,14,c0,Local Ultra-Peripheral
15,15,c0,Local Ultra-Peripheral
16,16,c0,Local Ultra-Peripheral
17,17,c0,Local Ultra-Peripheral
18,18,c0,Local Ultra-Peripheral
19,19,c0,Local Ultra-Peripheral
20,20,c0,Local Ultra-Peripheral
21,21,c0,Local Ultra-Peripheral
22,22,c0,Local Ultra-Peripheral
23,23,c0,Local Ultra-Peripheral
24,24,c0,Local Ultra-Peripheral
25,25,c0,Local Ultra-Peripheral
26,26,c0,Local Ultra-Peripheral
27,27,c0,Local Ultra-Peripheral
28,28,c0,Local Ultra-Peripheral
29,29,c0,Local Ultra-Peripheral
30,30,c0,Local Ultra-Peripheral
31,31,c0,Local Ultra-Peripheral
32,32,c0,Local Ultra-Peripheral
33,33,c0,Local Ultra-Peripheral
34,34,c3,Local Peripheral
35,35,c0,Local Ultra-Peripheral
36,36,c0,Local Ultra-Peripheral
37,37,c0,Local Ultra-Peripheral
38,38,c0,Local Ultra-Peripheral
39,39,c0,Local Ultra-Peripheral
40,40,c0,Local Ultra-Peripheral
41,41,c0,Local Ultra-Peripheral
42,42,c0,Local Ultra-Peripheral
43,43,c0,Local Ultra-Peripheral
44,44,c0,Local Ultra-Peripheral
45,45,c0,Local Ultra-Peripheral
46,46,c0,Local Ultra-Peripheral
47,47,c0,Local Ultra-Peripheral
48,48,c0,Local Ultra-Peripheral
49,49,c0,Local Ultra-Peripheral
50,50,c0,Local Ultra-Peripheral
51,51,c0,Local Ultra-Peripheral
52,52,c0,Local Ultra-Peripheral
53,53,c0,Local Ultra-Peripheral
54,54,c0,Local Ultra-Peripheral
55,55,c0,Local Ultra-Peripheral
56,56,c0,Local Ultra-Peripheral
57,57,c0,Local Ultra-Peripheral
58,58,c0,Local Peripheral
59,59,c0,Local Ultra-Peripheral
60,60,c0,Local Ultra-Peripheral
61,61,c0,Local Ultra-Peripheral
62,62,c0,Local Ultra-Peripheral
63,63,c0,Local Ultra-Peripheral
64,64,c0,Local Ultra-Peripheral
65,65,c0,Local Ultra-Peripheral
66,66,c0,Local Ultra-Peripheral
67,67,c0,Local Ultra-Peripheral
68,68,c0,Local Ultra-Peripheral
69,69,c0,Local Ultra-Peripheral
70,70,c0,Local Ultra-Peripheral
71,71,c0,Local Ultra-Peripheral
72,72,c0,Local Ultra-Peripheral
73,73,c0,Local Ultra-Peripheral
74,74,c0,Local Ultra-Peripheral
75,75,c0,Local Ultra-Peripheral
76,76,c0,Local Ultra-Peripheral
77,77,c0,Local Ultra-Peripheral
78,78,c0,Local Ultra-Peripheral
79,79,c0,Local Ultra-Peripheral
80,80,c0,Local Peripheral
81,81,c0,Local Ultra-Peripheral
82,82,c0,Local Ultra-Peripheral
83,83,c0,Local Ultra-Peripheral
84,84,c0,Local Ultra-Peripheral
85,85,c0,Local Ultra-Peripheral
86,86,c0,Local Ultra-Peripheral
87,87,c0,Local Peripheral
88,88,c0,Local Ultra-Peripheral
89,89,c0,Local Ultra-Peripheral
90,90,c0,Local Ultra-Peripheral
91,91,c0,Local Ultra-Peripheral
92,92,c0,Local Ultra-Peripheral
93,93,c0,Local Ultra-Peripheral
94,94,c0,Local Ultra-Peripheral
95,95,c0,Local Ultra-Peripheral
96,96,c0,Local Ultra-Peripheral
97,97,c0,Local Ultra-Peripheral
98,98,c0,Local Ultra-Peripheral
99,99,c0,Local Ultra-Peripheral
100,100,c0,Local Ultra-Peripheral
101,101,c0,Local Ultra-Peripheral
102,102,c0,Local Ultra-Peripheral
103,103,c0,Local Peripheral
104,104,c0,Local Ultra-Peripheral
105,105,c0,Local Ultra-Peripheral
106,106,c0,Local Ultra-Peripheral
107,107,c2,Local Connector
108,108,c0,Local Ultra-Peripheral
109,109,c0,Local Ultra-Peripheral
110,110,c0,Local Ultra-Peripheral
111,111,c0,Local Ultra-Peripheral
112,112,c0,Local Ultra-Peripheral
113,113,c0,Local Ultra-Peripheral
114,114,c0,Local Ultra-Peripheral
115,115,c0,Local Ultra-Peripheral
116,116,c0,Local Ultra-Peripheral
117,117,c0,Local Ultra-Peripheral
118,118,c0,Local Ultra-Peripheral
119,119,c0,Local Ultra-Peripheral
120,120,c0,Local Peripheral
121,121,c0,Local Ultra-Peripheral
122,122,c0,Local Ultra-Peripheral
123,123,c0,Local Ultra-Peripheral
124,124,c0,Local Ultra-Peripheral
125,125,c0,Local Peripheral
126,126,c0,Local Ultra-Peripheral
127,127,c0,Local Ultra-Peripheral
128,128,c0,Local Ultra-Peripheral
129,129,c0,Local Ultra-Peripheral
130,130,c0,Local Ultra-Peripheral
131,131,c0,Local Ultra-Peripheral
132,132,c0,Local Ultra-Peripheral
133,133,c0,Local Ultra-Peripheral
134,134,c0,Local Ultra-Peripheral
135,135,c0,Local Ultra-Peripheral
136,136,c11,Local Peripheral
137,137,c0,Local Ultra-Peripheral
138,138,c0,Local Ultra-Peripheral
139,139,c0,Local Ultra-Peripheral
140,140,c0,Local Ultra-Peripheral
141,141,c0,Local Ultra-Peripheral
142,142,c0,Local Ultra-Peripheral
143,143,c0,Local Ultra-Peripheral
144,144,c0,Local Ultra-Peripheral
145,145,c0,Local Ultra-Peripheral
146,146,c0,Local Peripheral
147,147,c0,Local Ultra-Peripheral
148,148,c0,Local Ultra-Peripheral
149,149,c0,Local Ultra-Peripheral
150,150,c0,Local Ultra-Peripheral
151,151,c0,Local Ultra-Peripheral
152,152,c0,Local Ultra-Peripheral
153,153,c0,Local Ultra-Peripheral
154,154,c0,Local Ultra-Peripheral
155,155,c0,Local Ultra-Peripheral
156,156,c0,Local Peripheral
157,157,c0,Local Ultra-Peripheral
158,158,c0,Local Ultra-Peripheral
159,159,c0,Local Ultra-Peripheral
160,160,c0,Local Ultra-Peripheral
161,161,c0,Local Ultra-Peripheral
162,162,c0,Local Ultra-Peripheral
163,163,c0,Local Peripheral
164,164,c0,Local Ultra-Peripheral
165,165,c0,Local Ultra-Peripheral
166,166,c0,Local Peripheral
167,167,c0,Local Ultra-Peripheral
168,168,c0,Local Ultra-Peripheral
169,169,c0,Local Peripheral
170,170,c0,Local Ultra-Peripheral
171,171,c0,Local Peripheral
172,172,c0,Local Ultra-Peripheral
173,173,c3,Local Peripheral
174,174,c0,Local Ultra-Peripheral
175,175,c0,Local Ultra-Peripheral
176,176,c0,Local Ultra-Peripheral
177,177,c0,Local Ultra-Peripheral
178,178,c0,Local Ultra-Peripheral
179,179,c0,Local Ultra-Peripheral
180,180,c0,Local Ultra-Peripheral
181,181,c0,Local Ultra-Peripheral
182,182,c0,Local Ultra-Peripheral
183,183,c0,Local Ultra-Peripheral
184,184,c0,Local Ultra-Peripheral
185,185,c0,Local Ultra-Peripheral
186,186,c0,Local Ultra-Peripheral
187,187,c0,Local Ultra-Peripheral
188,188,c0,Local Ultra-Peripheral
189,189,c0,Local Ultra-Peripheral
190,190,c0,Local Ultra-Peripheral
191,191,c0,Local Ultra-Peripheral
192,192,c0,Local Ultra-Peripheral
193,193,c0,Local Ultra-Peripheral
194,194,c0,Local Ultra-Peripheral
195,195,c0,Local Ultra-Peripheral
196,196,c0,Local Ultra-Peripheral
197,197,c0,Local Ultra-Peripheral
198,198,c3,Local Peripheral
199,199,c0,Local Ultra-Peripheral
200,200,c0,Local Ultra-Peripheral
201,201,c0,Local Ultra-Peripheral
202,202,c0,Local Peripheral
203,203,c0,Local Ultra-Peripheral
204,204,c0,Local Ultra-Peripheral
205,205,c0,Local Ultra-Peripheral
206,206,c0,Local Ultra-Peripheral
207,207,c0,Local Ultra-Peripheral
208,208,c0,Local Ultra-Peripheral
209,209,c0,Local Ultra-Peripheral
210,210,c0,Local Ultra-Peripheral
211,211,c0,Local Ultra-Peripheral
212,212,c0,Local Ultra-Peripheral
213,213,c0,Local Ultra-Peripheral
214,214,c0,Local Ultra-Peripheral
215,215,c0,Local Ultra-Peripheral
216,216,c0,Local Ultra-Peripheral
217,217,c0,Local Ultra-Peripheral
218,218,c0,Local Ultra-Peripheral
219,219,c0,Local Ultra-Peripheral
220,220,c0,Local Ultra-Peripheral
221,221,c0,Local Ultra-Peripheral
222,222,c0,Local Ultra-Peripheral
223,223,c0,Local Ultra-Peripheral
224,224,c0,Local Ultra-Peripheral
225,225,c0,Local Ultra-Peripheral
226,226,c0,Local Ultra-Peripheral
227,227,c0,Local Ultra-Peripheral
228,228,c0,Local Ultra-Peripheral
229,229,c0,Local Ultra-Peripheral
230,230,c0,Local Ultra-Peripheral
231,231,c0,Local Ultra-Peripheral
232,232,c0,Local Ultra-Peripheral
233,233,c0,Local Ultra-Peripheral
234,234,c0,Local Ultra-Peripheral
235,235,c0,Local Ultra-Peripheral
236,236,c0,Local Ultra-Peripheral
237,237,c0,Local Ultra-Peripheral
238,238,c0,Local Ultra-Peripheral
239,239,c0,Local Ultra-Peripheral
240,240,c0,Local Ultra-Peripheral
241,241,c0,Local Ultra-Peripheral
242,242,c0,Local Ultra-Peripheral
243,243,c0,Local Ultra-Peripheral
244,244,c0,Local Ultra-Peripheral
245,245,c0,Local Ultra-Peripheral
246,246,c0,Local Peripheral
247,247,c0,Local Ultra-Peripheral
248,248,c0,Local Ultra-Peripheral
249,249,c0,Local Ultra-Peripheral
250,250,c0,Local Ultra-Peripheral
251,251,c0,Local Ultra-Peripheral
252,252,c0,Local Ultra-Peripheral
253,253,c0,Local Ultra-Peripheral
254,254,c0,Local Ultra-Peripheral
255,255,c0,Local Ultra-Peripheral
256,256,c0,Local Ultra-Peripheral
257,257,c0,Local Ultra-Peripheral
258,258,c0,Local Ultra-Peripheral
259,259,c0,Local Ultra-Peripheral
260,260,c0,Local Ultra-Peripheral
261,261,c0,Local Ultra-Peripheral
262,262,c0,Local Ultra-Peripheral
263,263,c0,Local Ultra-Peripheral
264,264,c0,Local Ultra-Peripheral
265,265,c0,Local Ultra-Peripheral
266,266,c0,Local Ultra-Peripheral
267,267,c0,Local Ultra-Peripheral
268,268,c0,Local Ultra-Peripheral
269,269,c0,Local Ultra-Peripheral
270,270,c0,Local Ultra-Peripheral
271,271,c0,Local Ultra-Peripheral
272,272,c0,Local Ultra-Peripheral
273,273,c0,Local Ultra-Peripheral
274,274,c0,Local Ultra-Peripheral
275,275,c0,Local Ultra-Peripheral
276,276,c0,Local Ultra-Peripheral
277,277,c0,Local Ultra-Peripheral
278,278,c0,Local Ultra-Peripheral
279,279,c0,Local Ultra-Peripheral
280,280,c0,Local Ultra-Peripheral
281,281,c0,Local Ultra-Peripheral
282,282,c0,Local Ultra-Peripheral
283,283,c0,Local Ultra-Peripheral
284,284,c0,Local Ultra-Peripheral
285,285,c0,Local Ultra-Peripheral
286,286,c0,Local Ultra-Peripheral
287,287,c0,Local Ultra-Peripheral
288,288,c0,Local Ultra-Peripheral
289,289,c0,Local Ultra-Peripheral
290,290,c0,Local Ultra-Peripheral
291,291,c0,Local Ultra-Peripheral
292,292,c0,Local Ultra-Peripheral
293,293,c0,Local Ultra-Peripheral
294,294,c0,Local Ultra-Peripheral
295,295,c0,Local Ultra-Peripheral
296,296,c0,Local Ultra-Peripheral
297,297,c0,Local Ultra-Peripheral
298,298,c0,Local Ultra-Peripheral
299,299,c0,Local Ultra-Peripheral
300,300,c0,Local Ultra-Peripheral
301,301,c0,Local Ultra-Peripheral
302,302,c0,Local Ultra-Peripheral
303,303,c0,Local Ultra-Peripheral
304,304,c0,Local Ultra-Peripheral
305,305,c0,Local Ultra-Peripheral
306,306,c0,Local Ultra-Peripheral
307,307,c0,Local Ultra-Peripheral
308,308,c0,Local Peripheral
309,309,c0,Local Ultra-Peripheral
310,310,c0,Local Ultra-Peripheral
311,311,c0,Local Ultra-Peripheral
312,312,c0,Local Ultra-Peripheral
313,313,c0,Local Ultra-Peripheral
314,314,c0,Local Ultra-Peripheral
315,315,c0,Local Ultra-Peripheral
316,316,c0,Local Ultra-Peripheral
317,317,c0,Local Ultra-Peripheral
318,318,c0,Local Ultra-Peripheral
319,319,c0,Local Ultra-Peripheral
320,320,c0,Local Ultra-Peripheral
321,321,c0,Local Ultra-Peripheral
322,322,c0,Local Ultra-Peripheral
323,323,c0,Local Ultra-Peripheral
324,324,c0,Local Peripheral
325,325,c0,Local Ultra-Peripheral
326,326,c0,Local Ultra-Peripheral
327,327,c0,Local Ultra-Peripheral
328,328,c0,Local Ultra-Peripheral
329,329,c0,Local Ultra-Peripheral
330,330,c0,Local Ultra-Peripheral
331,331,c0,Local Ultra-Peripheral
332,332,c0,Local Ultra-Peripheral
333,333,c0,Local Ultra-Peripheral
334,334,c0,Local Ultra-Peripheral
335,335,c0,Local Ultra-Peripheral
336,336,c0,Local Ultra-Peripheral
337,337,c0,Local Ultra-Peripheral
338,338,c0,Local Ultra-Peripheral
339,339,c0,Local Peripheral
340,340,c0,Local Ultra-Peripheral
341,341,c0,Local Ultra-Peripheral
342,342,c0,Local Ultra-Peripheral
343,343,c0,Local Ultra-Peripheral
344,344,c0,Local Ultra-Peripheral
345,345,c0,Local Ultra-Peripheral
346,346,c0,Local Ultra-Peripheral
347,347,c0,Local Ultra-Peripheral
348,348,c3,Local Ultra-Peripheral
349,414,c3,Local Peripheral
350,428,c3,Local Peripheral
351,1684,c7,Local Peripheral
352,1912,c11,Local Peripheral
353,2814,c0,Local Peripheral
354,2838,c0,Local Peripheral
355,2885,c0,Local Peripheral
356,3003,c0,Local Peripheral
357,3173,c7,Local Peripheral
358,3290,c0,Local Peripheral
359,353,c3,Local Peripheral
360,363,c3,Local Peripheral
361,366,c3,Local Peripheral
362,376,c3,Local Peripheral
363,389,c4,Local Peripheral
364,420,c3,Local Peripheral
365,475,c3,Local Ultra-Peripheral
366,483,c3,Local Peripheral
367,484,c3,Local Peripheral
368,517,c3,Local Ultra-Peripheral
369,526,c3,Local Peripheral
370,538,c3,Local Peripheral
371,563,c3,Local Peripheral
372,566,c3,Local Peripheral
373,580,c3,Local Ultra-Peripheral
374,596,c3,Local Peripheral
375,601,c3,Local Peripheral
376,606,c3,Local Peripheral
377,629,c3,Local Peripheral
378,637,c3,Local Peripheral
379,641,c3,Local Peripheral
380,649,c3,Local Peripheral
381,651,c3,Local Peripheral
382,896,c4,Local Ultra-Peripheral
383,897,c2,Local Ultra-Peripheral
384,898,c4,Local Peripheral
385,899,c2,Local Ultra-Peripheral
386,900,c1,Local Peripheral
387,901,c1,Local Peripheral
388,902,c4,Local Ultra-Peripheral
389,903,c1,Local Peripheral
390,904,c2,Local Peripheral
391,905,c3,Local Peripheral
392,906,c2,Local Ultra-Peripheral
393,907,c2,Local Peripheral
394,908,c1,Local Peripheral
395,909,c1,Local Peripheral
396,910,c3,Local Peripheral
397,911,c2,Local Ultra-Peripheral
398,912,c3,Local Peripheral
399,913,c4,Local Peripheral
400,914,c4,Local Peripheral
401,915,c3,Local Peripheral
402,916,c2,Local Ultra-Peripheral
403,917,c4,Local Peripheral
404,918,c2,Local Ultra-Peripheral
405,919,c4,Local Peripheral
406,920,c2,Local Ultra-Peripheral
407,921,c2,Local Ultra-Peripheral
408,922,c2,Local Ultra-Peripheral
409,923,c1,Local Connector
410,924,c4,Local Peripheral
411,925,c2,Local Ultra-Peripheral
412,926,c2,Local Ultra-Peripheral
413,927,c2,Local Peripheral
414,928,c1,Local Peripheral
415,929,c2,Local Peripheral
416,930,c3,Local Peripheral
417,931,c3,Local Peripheral
418,932,c2,Local Ultra-Peripheral
419,933,c4,Local Peripheral
420,934,c2,Local Ultra-Peripheral
421,935,c4,Local Peripheral
422,936,c3,Local Peripheral
423,937,c4,Local Peripheral
424,938,c1,Local Peripheral
425,939,c3,Local Peripheral
426,940,c4,Local Peripheral
427,941,c4,Local Ultra-Peripheral
428,942,c4,Local Peripheral
429,943,c4,Local Peripheral
430,944,c4,Local Peripheral
431,945,c4,Local Peripheral
432,946,c2,Local Ultra-Peripheral
433,947,c2,Local Ultra-Peripheral
434,948,c3,Local Peripheral
435,949,c4,Local Peripheral
436,950,c1,Local Peripheral
437,951,c1,Local Peripheral
438,952,c2,Local Ultra-Peripheral
439,953,c2,Local Peripheral
440,954,c4,Local Peripheral
441,955,c1,Local Peripheral
442,956,c1,Local Peripheral
443,957,c4,Local Peripheral
444,958,c1,Local Peripheral
445,959,c2,Local Ultra-Peripheral
446,960,c2,Local Ultra-Peripheral
447,961,c2,Local Peripheral
448,962,c3,Local Peripheral
449,963,c1,Local Peripheral
450,964,c4,Local Peripheral
451,965,c4,Local Peripheral
452,966,c2,Local Ultra-Peripheral
453,967,c2,Local Ultra-Peripheral
454,968,c4,Local Peripheral
455,969,c4,Local Peripheral
456,970,c1,Local Peripheral
457,971,c4,Local Peripheral
458,972,c2,Local Ultra-Peripheral
459,973,c2,Local Peripheral
460,974,c4,Local Peripheral
461,975,c4,Local Ultra-Peripheral
462,976,c3,Local Peripheral
463,977,c4,Local Peripheral
464,978,c2,Local Ultra-Peripheral
465,979,c1,Local Peripheral
466,980,c2,Local Ultra-Peripheral
467,981,c4,Local Ultra-Peripheral
468,982,c2,Local Ultra-Peripheral
469,983,c2,Local Ultra-Peripheral
470,984,c4,Local Peripheral
471,985,c4,Local Peripheral
472,986,c4,Local Peripheral
473,987,c1,Local Connector
474,988,c4,Local Ultra-Peripheral
475,989,c4,Local Peripheral
476,990,c7,Local Peripheral
477,991,c2,Local Peripheral
478,992,c1,Local Peripheral
479,993,c2,Local Ultra-Peripheral
480,994,c4,Local Peripheral
481,995,c2,Local Peripheral
482,996,c2,Local Peripheral
483,997,c2,Local Ultra-Peripheral
484,998,c2,Local Ultra-Peripheral
485,999,c2,Local Ultra-Peripheral
486,1000,c4,Local Peripheral
487,1001,c3,Local Peripheral
488,1002,c2,Local Ultra-Peripheral
489,1003,c2,Local Ultra-Peripheral
490,1004,c2,Local Ultra-Peripheral
491,1005,c4,Local Peripheral
492,1006,c2,Local Ultra-Peripheral
493,1007,c4,Local Peripheral
494,1008,c2,Local Connector
495,1009,c4,Local Ultra-Peripheral
496,1010,c4,Local Peripheral
497,1011,c4,Local Peripheral
498,1012,c3,Local Peripheral
499,1013,c4,Local Connector
500,1014,c4,Local Peripheral
501,1015,c4,Local Peripheral
502,1016,c1,Local Peripheral
503,1017,c2,Local Ultra-Peripheral
504,1018,c4,Local Peripheral
505,1019,c4,Local Peripheral
506,1020,c4,Local Peripheral
507,1021,c4,Local Peripheral
508,1022,c2,Local Connector
509,1023,c1,Local Peripheral
510,1024,c2,Local Ultra-Peripheral
511,1025,c3,Local Peripheral
512,1026,c2,Local Ultra-Peripheral
513,1027,c2,Local Ultra-Peripheral
514,1028,c2,Local Ultra-Peripheral
515,1029,c2,Local Peripheral
516,1030,c1,Local Peripheral
517,1031,c1,Local Connector
518,1032,c4,Local Peripheral
519,1033,c1,Local Peripheral
520,1034,c2,Local Ultra-Peripheral
521,1035,c4,Local Peripheral
522,1036,c4,Local Ultra-Peripheral
523,1037,c4,Local Peripheral
524,1038,c2,Local Ultra-Peripheral
525,1039,c2,Local Ultra-Peripheral
526,1040,c2,Local Ultra-Peripheral
527,1041,c4,Local Peripheral
528,1042,c4,Local Peripheral
529,1043,c1,Local Peripheral
530,1044,c4,Local Peripheral
531,1045,c1,Local Peripheral
532,1046,c2,Local Ultra-Peripheral
533,1047,c2,Local Ultra-Peripheral
534,1048,c2,Local Ultra-Peripheral
535,1049,c2,Local Peripheral
536,1050,c2,Local Peripheral
537,1051,c4,Local Peripheral
538,1052,c4,Local Peripheral
539,1053,c1,Local Connector
540,1054,c2,Local Peripheral
541,1055,c2,Local Peripheral
542,1056,c2,Local Ultra-Peripheral
543,1057,c1,Local Connector
544,1058,c2,Local Peripheral
545,1059,c2,Local Ultra-Peripheral
546,1060,c4,Local Peripheral
547,1061,c1,Local Peripheral
548,1062,c4,Local Peripheral
549,1063,c2,Local Ultra-Peripheral
550,1064,c3,Local Peripheral
551,1065,c4,Local Peripheral
552,1066,c4,Local Peripheral
553,1067,c4,Local Peripheral
554,1068,c2,Local Peripheral
555,1069,c2,Local Ultra-Peripheral
556,1070,c4,Local Peripheral
557,1071,c2,Local Ultra-Peripheral
558,1072,c4,Local Peripheral
559,1073,c1,Local Peripheral
560,1074,c2,Local Peripheral
561,1075,c2,Local Peripheral
562,1076,c2,Local Ultra-Peripheral
563,1077,c2,Local Peripheral
564,1078,c2,Local Ultra-Peripheral
565,1079,c2,Local Ultra-Peripheral
566,1080,c3,Local Peripheral
567,1081,c4,Local Peripheral
568,1082,c4,Local Ultra-Peripheral
569,1083,c2,Local Ultra-Peripheral
570,1084,c2,Local Ultra-Peripheral
571,1085,c14,Local Peripheral
572,1086,c2,Local Peripheral
573,1087,c2,Local Peripheral
574,1088,c1,Local Peripheral
575,1089,c4,Local Peripheral
576,1090,c4,Local Peripheral
577,1091,c2,Local Peripheral
578,1092,c2,Local Ultra-Peripheral
579,1093,c4,Local Peripheral
580,1094,c3,Local Peripheral
581,1095,c3,Local Peripheral
582,1096,c2,Local Ultra-Peripheral
583,1097,c1,Local Peripheral
584,1098,c1,Local Peripheral
585,1099,c4,Local Peripheral
586,1100,c4,Local Ultra-Peripheral
587,1101,c2,Local Ultra-Peripheral
588,1102,c4,Local Peripheral
589,1103,c4,Local Peripheral
590,1104,c4,Local Peripheral
591,1105,c2,Local Ultra-Peripheral
592,1106,c4,Local Peripheral
593,1107,c2,Local Ultra-Peripheral
594,1108,c4,Local Peripheral
595,1109,c4,Local Peripheral
596,1110,c2,Local Peripheral
597,1111,c1,Local Peripheral
598,1112,c2,Local Ultra-Peripheral
599,1113,c3,Local Peripheral
600,1114,c3,Local Peripheral
