node,community,degree,global_closeness,global_core_num,betweenness,eigenvector,trussness,local_zscore,local_P,local_role,global_role
0,c0,0.08593363051015354,0.35334266713335666,21,0.15731261380098313,3.391796172270201e-05,76,0.7340576677102303,0.028519462830851605,Local Ultra-Peripheral,
1,c0,0.004210004952947003,0.2613761408505405,13,3.1198482997787703e-06,6.045346134948107e-07,18,-0.3524198894708648,0.0,Local Ultra-Peripheral,
2,c0,0.0024764735017335313,0.26125776397515527,9,3.096358682189745e-07,2.2334609371911966e-07,11,-0.3758209445486114,0.0,Local Ultra-Peripheral,Global Peripheral
3,c0,0.004210004952947003,0.2613761408505405,13,4.816557950072936e-06,6.635648083921052e-07,17,-0.3524198894708648,0.0,Local Ultra-Peripheral,
4,c0,0.0024764735017335313,0.26125776397515527,9,0.0,2.2364157028893605e-07,10,-0.3758209445486114,0.0,Local Ultra-Peripheral,Global Peripheral
5,c0,0.0032194155522535907,0.2613084837895554,10,1.4196067329582316e-05,1.1833221118435216e-06,13,-0.36579192094386287,0.0,Local Ultra-Peripheral,
6,c0,0.0014858841010401188,0.26119016817593793,5,0.0,2.1709041695161263e-07,6,-0.3891929760216095,0.0,Local Ultra-Peripheral,Global Peripheral
7,c0,0.004952947003467063,0.2747686445291236,12,9.341921828288062e-05,2.568510124822489e-05,19,-0.3457338737343657,0.09500000000000008,Local Peripheral,
8,c0,0.001981178801386825,0.2612239617026782,5,0.0,2.1973746334830285e-07,6,-0.38250696028511044,0.0,Local Ultra-Peripheral,Global Peripheral
9,c0,0.014115898959881128,0.2620546433902265,21,1.0607743148663411e-05,2.214116624486093e-06,57,-0.2186995747408838,0.0,Local Ultra-Peripheral,
10,c0,0.0024764735017335313,0.26125776397515527,10,0.0,7.708567044092624e-07,11,-0.3758209445486114,0.0,Local Ultra-Peripheral,
11,c0,0.00024764735017335313,0.26110572259941806,1,0.0,2.1031233303459666e-07,2,-0.40590801536285714,0.0,Local Ultra-Peripheral,Global Peripheral
12,c0,0.00024764735017335313,0.26110572259941806,1,0.0,2.1031233303459666e-07,2,-0.40590801536285714,0.0,Local Ultra-Peripheral,Global Peripheral
13,c0,0.007677067855373947,0.26161321671525756,21,1.3942015089297465e-06,1.103790547598573e-06,32,-0.30561777931537143,0.0,Local Ultra-Peripheral,
14,c0,0.003714710252600297,0.2613423079412336,10,7.66717387970794e-07,2.3055679294325335e-07,16,-0.3591059052073638,0.0,Local Ultra-Peripheral,
15,c0,0.00024764735017335313,0.26110572259941806,1,0.0,2.1031233303459666e-07,2,-0.40590801536285714,0.0,Local Ultra-Peripheral,Global Peripheral
16,c0,0.002228826151560178,0.2612408617454875,9,0.0,2.616513592117462e-07,10,-0.37916395241686096,0.0,Local Ultra-Peripheral,Global Peripheral
17,c0,0.0032194155522535907,0.2613084837895554,9,7.077391273576559e-07,2.2774170298520142e-07,14,-0.36579192094386287,0.0,Local Ultra-Peripheral,Global Peripheral
18,c0,0.00024764735017335313,0.26110572259941806,1,0.0,2.1031233303459666e-07,2,-0.40590801536285714,0.0,Local Ultra-Peripheral,Global Peripheral
19,c0,0.00396235760277365,0.2613592233009709,7,0.0,2.3149092118602842e-07,13,-0.35576289733911426,0.0,Local Ultra-Peripheral,Global Peripheral
20,c0,0.003714710252600297,0.2613423079412336,9,7.224836925109403e-07,2.3038875741121886e-07,14,-0.3591059052073638,0.0,Local Ultra-Peripheral,Global Peripheral
21,c0,0.016097077761267953,0.2756125861715924,21,0.002109257837583738,2.5965755464539663e-05,66,-0.19529851966313716,0.030295857988165587,Local Ultra-Peripheral,
22,c0,0.0027241208519068845,0.2612746683921061,9,0.0,1.0365420550578182e-06,12,-0.3724779366803619,0.0,Local Ultra-Peripheral,Global Peripheral
23,c0,0.004210004952947003,0.2613761408505405,7,0.0,2.327855955467465e-07,17,-0.3524198894708648,0.0,Local Ultra-Peripheral,Global Peripheral
24,c0,0.00396235760277365,0.2613592233009709,15,4.865706500583885e-07,2.4875636881516775e-07,17,-0.35576289733911426,0.0,Local Ultra-Peripheral,
25,c0,0.017087667161961365,0.26225888160031174,21,8.771884983345761e-05,2.0920477409908786e-06,66,-0.17858348032188953,0.0,Local Ultra-Peripheral,
26,c0,0.016840019811788013,0.26224184959085595,21,8.756879089720381e-06,2.333621078244131e-06,67,-0.18192648819013907,0.0,Local Ultra-Peripheral,
27,c0,0.0012382367508667657,0.2611732746911584,5,0.0,3.8500493368810947e-07,6,-0.39253598388985905,0.0,Local Ultra-Peripheral,Global Peripheral
28,c0,0.0032194155522535907,0.2613084837895554,10,7.66717387970794e-07,2.276328150659143e-07,14,-0.36579192094386287,0.0,Local Ultra-Peripheral,
29,c0,0.0032194155522535907,0.2613084837895554,9,0.0,2.9276633115487333e-07,14,-0.36579192094386287,0.0,Local Ultra-Peripheral,Global Peripheral
30,c0,0.004210004952947003,0.2613761408505405,14,5.848677510802851e-07,9.62912044010581e-07,18,-0.3524198894708648,0.0,Local Ultra-Peripheral,
31,c0,0.005695889053987122,0.2614776921582594,14,6.115107335072656e-06,1.4530295555049823e-06,24,-0.3323618422613676,0.0,Local Ultra-Peripheral,
32,c0,0.0014858841010401188,0.26119016817593793,6,0.0,2.172656002138456e-07,7,-0.3891929760216095,0.0,Local Ultra-Peripheral,Global Peripheral
33,c0,0.0004952947003467063,0.26112260734609416,2,0.0,2.1162712130634827e-07,3,-0.4025650074946076,0.0,Local Ultra-Peripheral,Global Peripheral
34,c4,0.0012382367508667657,0.3033125516412529,5,0.0036261094575213092,4.074184547679874e-06,4,-0.8000983108467811,0.31999999999999984,Local Peripheral,Global Peripheral
35,c0,0.0004952947003467063,0.26112260734609416,2,0.0,2.1171402853040497e-07,3,-0.4025650074946076,0.0,Local Ultra-Peripheral,Global Peripheral
36,c0,0.0027241208519068845,0.2612746683921061,10,5.504637657226213e-07,2.356058109794917e-07,11,-0.3724779366803619,0.0,Local Ultra-Peripheral,
37,c0,0.00024764735017335313,0.26110572259941806,1,0.0,2.1031233303459666e-07,2,-0.40590801536285714,0.0,Local Ultra-Peripheral,Global Peripheral
38,c0,0.002228826151560178,0.2612408617454875,8,9.87784178613832e-07,7.219113580673047e-07,10,-0.37916395241686096,0.0,Local Ultra-Peripheral,Global Peripheral
39,c0,0.003714710252600297,0.2613423079412336,12,0.0,4.869308388829613e-07,16,-0.3591059052073638,0.0,Local Ultra-Peripheral,
40,c0,0.010896483407627538,0.26183374400207493,21,1.0860415897406882e-05,1.7851968170490274e-06,44,-0.2621586770281276,0.0,Local Ultra-Peripheral,
41,c0,0.005943536404160475,0.26149462504856885,10,4.2169456338393665e-06,2.430097031380907e-07,23,-0.3290188343931181,0.0,Local Ultra-Peripheral,
