,node,community,degree,local_closeness,global_closeness,local_core_num,global_core_num,betweenness,eigenvector,trussness,local_zscore,local_P
0,0,c0,0.08593363051015354,0.9803370786516854,0.35334266713335666,21,21,0.14737680524496516,3.391796172270201e-05,76,0.7340576677102303,0.028519462830851605
1,1,c0,0.004210004952947003,0.5072674418604651,0.2613761408505405,13,13,1.5599241498893851e-06,6.045346134948107e-07,18,-0.3524198894708648,0.0
2,2,c0,0.0024764735017335313,0.5021582733812949,0.26125776397515527,9,9,1.5481793410948724e-07,2.2334609371911966e-07,11,-0.3758209445486114,0.0
3,3,c0,0.004210004952947003,0.5072674418604651,0.2613761408505405,13,13,2.408278975036468e-06,6.635648083921052e-07,17,-0.3524198894708648,0.0
4,4,c0,0.0024764735017335313,0.5021582733812949,0.26125776397515527,9,9,0.0,2.2364157028893605e-07,10,-0.3758209445486114,0.0
5,5,c0,0.0032194155522535907,0.5043352601156069,0.2613084837895554,10,10,7.098033664791158e-06,1.1833221118435216e-06,13,-0.36579192094386287,0.0
6,6,c0,0.0014858841010401188,0.49928469241773965,0.26119016817593793,5,5,0.0,2.1709041695161263e-07,6,-0.3891929760216095,0.0
7,7,c0,0.004952947003467063,0.5087463556851312,0.2747686445291236,11,12,8.22505266647609e-05,2.568510124822489e-05,19,-0.3457338737343657,0.09500000000000008
8,8,c0,0.001981178801386825,0.5007173601147776,0.2612239617026782,5,5,0.0,2.1973746334830285e-07,6,-0.38250696028511044,0.0
9,9,c0,0.014115898959881128,0.5385802469135802,0.2620546433902265,21,21,6.810107321731422e-06,2.214116624486093e-06,57,-0.2186995747408838,0.0
10,10,c0,0.0024764735017335313,0.5021582733812949,0.26125776397515527,10,10,0.0,7.708567044092624e-07,11,-0.3758209445486114,0.0
11,11,c0,0.00024764735017335313,0.49573863636363635,0.26110572259941806,1,1,0.0,2.1031233303459666e-07,2,-0.40590801536285714,0.0
12,12,c0,0.00024764735017335313,0.49573863636363635,0.26110572259941806,1,1,0.0,2.1031233303459666e-07,2,-0.40590801536285714,0.0
13,13,c0,0.007677067855373947,0.5178041543026706,0.26161321671525756,21,21,8.209551017524629e-07,1.103790547598573e-06,32,-0.30561777931537143,0.0
14,14,c0,0.003714710252600297,0.5057971014492754,0.2613423079412336,10,10,3.83358693985397e-07,2.3055679294325335e-07,16,-0.3591059052073638,0.0
15,15,c0,0.00024764735017335313,0.49573863636363635,0.26110572259941806,1,1,0.0,2.1031233303459666e-07,2,-0.40590801536285714,0.0
16,16,c0,0.002228826151560178,0.5014367816091954,0.2612408617454875,9,9,0.0,2.616513592117462e-07,10,-0.37916395241686096,0.0
17,17,c0,0.0032194155522535907,0.5043352601156069,0.2613084837895554,9,9,3.5386956367882796e-07,2.2774170298520142e-07,14,-0.36579192094386287,0.0
18,18,c0,0.00024764735017335313,0.49573863636363635,0.26110572259941806,1,1,0.0,2.1031233303459666e-07,2,-0.40590801536285714,0.0
19,19,c0,0.00396235760277365,0.5065312046444121,0.2613592233009709,7,7,0.0,2.3149092118602842e-07,13,-0.35576289733911426,0.0
20,20,c0,0.003714710252600297,0.5057971014492754,0.2613423079412336,9,9,3.6124184625547016e-07,2.3038875741121886e-07,14,-0.3591059052073638,0.0
21,21,c0,0.016097077761267953,0.5444617784711389,0.2756125861715924,21,21,0.001332444244460468,2.5965755464539663e-05,66,-0.19529851966313716,0.030295857988165587
22,22,c0,0.0027241208519068845,0.5028818443804035,0.2612746683921061,9,9,0.0,1.0365420550578182e-06,12,-0.3724779366803619,0.0
23,23,c0,0.004210004952947003,0.5072674418604651,0.2613761408505405,7,7,0.0,2.327855955467465e-07,17,-0.3524198894708648,0.0
24,24,c0,0.00396235760277365,0.5065312046444121,0.2613592233009709,15,15,2.4328532502919425e-07,2.4875636881516775e-07,17,-0.35576289733911426,0.0
25,25,c0,0.017087667161961365,0.5487421383647799,0.26225888160031174,21,21,5.0665239516078205e-05,2.0920477409908786e-06,66,-0.17858348032188953,0.0
26,26,c0,0.016840019811788013,0.5478806907378336,0.26224184959085595,21,21,5.618020340557279e-06,2.333621078244131e-06,67,-0.18192648819013907,0.0
27,27,c0,0.0012382367508667657,0.49857142857142855,0.2611732746911584,5,5,0.0,3.8500493368810947e-07,6,-0.39253598388985905,0.0
28,28,c0,0.0032194155522535907,0.5043352601156069,0.2613084837895554,10,10,3.83358693985397e-07,2.276328150659143e-07,14,-0.36579192094386287,0.0
29,29,c0,0.0032194155522535907,0.5043352601156069,0.2613084837895554,9,9,0.0,2.9276633115487333e-07,14,-0.36579192094386287,0.0
30,30,c0,0.004210004952947003,0.5072674418604651,0.2613761408505405,14,14,1.036777729019232e-06,9.62912044010581e-07,18,-0.3524198894708648,0.0
31,31,c0,0.005695889053987122,0.5117302052785924,0.2614776921582594,14,14,3.057553667536328e-06,1.4530295555049823e-06,24,-0.3323618422613676,0.0
32,32,c0,0.0014858841010401188,0.49928469241773965,0.26119016817593793,6,6,0.0,2.172656002138456e-07,7,-0.3891929760216095,0.0
33,33,c0,0.0004952947003467063,0.49644381223328593,0.26112260734609416,2,2,0.0,2.1162712130634827e-07,3,-0.4025650074946076,0.0
34,34,c4,0.0012382367508667657,0.44570837642192346,0.3033125516412529,4,5,0.003188667182641321,4.074184547679874e-06,4,-0.7996493000996779,0.31999999999999984
35,35,c0,0.0004952947003467063,0.49644381223328593,0.26112260734609416,2,2,0.0,2.1171402853040497e-07,3,-0.4025650074946076,0.0
36,36,c0,0.0027241208519068845,0.5028818443804035,0.2612746683921061,10,10,2.7523188286131065e-07,2.356058109794917e-07,11,-0.3724779366803619,0.0
37,37,c0,0.00024764735017335313,0.49573863636363635,0.26110572259941806,1,1,0.0,2.1031233303459666e-07,2,-0.40590801536285714,0.0
38,38,c0,0.002228826151560178,0.5014367816091954,0.2612408617454875,8,8,4.93892089306916e-07,7.219113580673047e-07,10,-0.37916395241686096,0.0
39,39,c0,0.003714710252600297,0.5057971014492754,0.2613423079412336,12,12,0.0,4.869308388829613e-07,16,-0.3591059052073638,0.0
40,40,c0,0.010896483407627538,0.5279878971255674,0.26183374400207493,21,21,8.122418208577285e-06,1.7851968170490274e-06,44,-0.2621586770281276,0.0
41,41,c0,0.005943536404160475,0.5124816446402349,0.26149462504856885,10,10,2.1084728169196833e-06,2.430097031380907e-07,23,-0.3290188343931181,0.0
42,42,c0,0.0004952947003467063,0.49644381223328593,0.26112260734609416,2,2,0.0,2.1162712130634827e-07,3,-0.4025650074946076,0.0
43,43,c0,0.00024764735017335313,0.49573863636363635,0.26110572259941806,1,1,0.0,2.1031233303459666e-07,2,-0.40590801536285714,0.0
44,44,c0,0.0014858841010401188,0.49928469241773965,0.26119016817593793,6,6,0.0,2.176613170884422e-07,7,-0.3891929760216095,0.0
45,45,c0,0.0029717682020802376,0.5036075036075036,0.2612915749967646,11,11,4.472518096496298e-07,7.728864856656585e-07,13,-0.36913492881211235,0.0
